Each numbered origami of degree  6  is represented as follows.
The format is (x,y,\epsilon), where x and y are shown as cycles, and \epsilon is shown as a list with + as 0 and - as 1.
O_ 2982  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4], [2], [5]] [0 0 0 0 1 0] ), abelian= False
O_ 2983  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4], [2], [5]] [0 0 0 1 1 0] ), abelian= True
O_ 2984  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4, 5], [2]] [0 0 0 0 0 0] ), abelian= True
O_ 2985  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4, 5], [2]] [0 0 0 1 0 0] ), abelian= False
O_ 2986  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4, 5], [2]] [0 0 0 0 1 0] ), abelian= False
O_ 2987  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4, 5], [2]] [0 0 0 1 1 0] ), abelian= False
O_ 2988  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4, 5], [2]] [0 0 0 0 0 1] ), abelian= False
O_ 2989  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4, 5], [2]] [0 0 0 1 0 1] ), abelian= False
O_ 2990  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4, 5], [2]] [0 0 0 0 1 1] ), abelian= False
O_ 2991  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 4, 5], [2]] [0 0 0 1 1 1] ), abelian= True
O_ 2992  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 2993  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 2994  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 0 0 1 0 0] ), abelian= False
O_ 2995  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4], [5]] [0 1 0 1 0 0] ), abelian= True
O_ 2996  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 2997  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 2998  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 2999  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 3000  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 3001  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 3002  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 0 0 0 1 1] ), abelian= False
O_ 3003  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3], [2, 4, 5]] [0 1 0 0 1 1] ), abelian= True
O_ 3004  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3005  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 3006  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 0 0 1 0 0] ), abelian= False
O_ 3007  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 0 1 0 0] ), abelian= False
O_ 3008  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 0 0 0 1 0] ), abelian= False
O_ 3009  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 0 0 1 0] ), abelian= False
O_ 3010  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 0 0 1 1 0] ), abelian= True
O_ 3011  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4], [5]] [0 1 0 1 1 0] ), abelian= False
O_ 3012  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3013  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 3014  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 3015  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 1 0 1 0 0] ), abelian= False
O_ 3016  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3017  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 3018  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 3019  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 3020  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 0 0 0 0 1] ), abelian= False
O_ 3021  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 1 0 0 0 1] ), abelian= False
O_ 3022  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 0 0 1 0 1] ), abelian= False
O_ 3023  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 1 0 1 0 1] ), abelian= False
O_ 3024  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 0 0 0 1 1] ), abelian= False
O_ 3025  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 1 0 0 1 1] ), abelian= False
O_ 3026  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 0 0 1 1 1] ), abelian= True
O_ 3027  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 2, 4, 5]] [0 1 0 1 1 1] ), abelian= False
O_ 3028  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 3029  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 0 0 0] ), abelian= False
O_ 3030  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 1 0 0] ), abelian= False
O_ 3031  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 1 0 0] ), abelian= False
O_ 3032  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 0 1 0] ), abelian= False
O_ 3033  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 0 1 0] ), abelian= False
O_ 3034  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 1 1 0] ), abelian= False
O_ 3035  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 1 1 0] ), abelian= False
O_ 3036  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 0 0 1] ), abelian= False
O_ 3037  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 0 0 1] ), abelian= False
O_ 3038  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 1 0 1] ), abelian= False
O_ 3039  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 1 0 1] ), abelian= False
O_ 3040  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 0 1 1] ), abelian= False
O_ 3041  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 0 1 1] ), abelian= False
O_ 3042  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 0 0 1 1 1] ), abelian= True
O_ 3043  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5, 2, 4]] [0 1 0 1 1 1] ), abelian= False
O_ 3044  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 3045  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 0 0 0 0] ), abelian= False
O_ 3046  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 0 0 1 0 0] ), abelian= False
O_ 3047  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 0 1 0 0] ), abelian= False
O_ 3048  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 0 0 0 0 1] ), abelian= False
O_ 3049  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 0 0 0 1] ), abelian= False
O_ 3050  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 0 0 1 0 1] ), abelian= False
O_ 3051  = ( [[0], [1, 2], [3, 4, 5]] [[0, 1, 3, 5], [2, 4]] [0 1 0 1 0 1] ), abelian= True
O_ 3052  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1], [2], [4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3053  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1], [2], [4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3054  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1], [2], [4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3055  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4], [1], [2], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3056  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4], [1], [2], [5]] [0 0 0 1 0 0] ), abelian= False
O_ 3057  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4], [1], [2], [5]] [0 0 0 1 1 0] ), abelian= True
O_ 3058  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1], [2]] [0 0 0 0 0 0] ), abelian= True
O_ 3059  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1], [2]] [0 0 0 1 0 0] ), abelian= False
O_ 3060  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1], [2]] [0 0 0 0 1 0] ), abelian= False
O_ 3061  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1], [2]] [0 0 0 1 1 0] ), abelian= False
O_ 3062  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1], [2]] [0 0 0 1 0 1] ), abelian= False
O_ 3063  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1], [2]] [0 0 0 1 1 1] ), abelian= True
O_ 3064  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1], [2, 4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3065  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1], [2, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3066  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1], [2, 4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3067  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1], [2, 4, 5]] [0 0 0 0 1 1] ), abelian= True
O_ 3068  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4], [1], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3069  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4], [1], [5]] [0 0 0 1 0 0] ), abelian= False
O_ 3070  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4], [1], [5]] [0 0 0 1 1 0] ), abelian= True
O_ 3071  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4, 5], [1]] [0 0 0 0 0 0] ), abelian= True
O_ 3072  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4, 5], [1]] [0 0 0 1 0 0] ), abelian= False
O_ 3073  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4, 5], [1]] [0 0 0 0 1 0] ), abelian= False
O_ 3074  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4, 5], [1]] [0 0 0 1 1 0] ), abelian= False
O_ 3075  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4, 5], [1]] [0 0 0 0 0 1] ), abelian= False
O_ 3076  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4, 5], [1]] [0 0 0 1 0 1] ), abelian= False
O_ 3077  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4, 5], [1]] [0 0 0 0 1 1] ), abelian= False
O_ 3078  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 2, 4, 5], [1]] [0 0 0 1 1 1] ), abelian= True
O_ 3079  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 5], [1], [2, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 3080  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 5], [1], [2, 4]] [0 0 0 1 0 0] ), abelian= False
O_ 3081  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 5], [1], [2, 4]] [0 0 0 1 0 1] ), abelian= True
O_ 3082  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2], [4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3083  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2], [4], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 3084  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2], [4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3085  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2], [4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 3086  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2], [4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3087  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2], [4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 3088  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4], [1, 2], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3089  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4], [1, 2], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 3090  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4], [1, 2], [5]] [0 0 0 1 0 0] ), abelian= False
O_ 3091  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4], [1, 2], [5]] [0 1 0 1 0 0] ), abelian= False
O_ 3092  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4], [1, 2], [5]] [0 0 0 1 1 0] ), abelian= True
O_ 3093  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4], [1, 2], [5]] [0 1 0 1 1 0] ), abelian= False
O_ 3094  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 0 0 0 0 0] ), abelian= True
O_ 3095  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 1 0 0 0 0] ), abelian= False
O_ 3096  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 0 0 1 0 0] ), abelian= False
O_ 3097  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 1 0 1 0 0] ), abelian= False
O_ 3098  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 0 0 0 1 0] ), abelian= False
O_ 3099  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 1 0 0 1 0] ), abelian= False
O_ 3100  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 0 0 1 1 0] ), abelian= False
O_ 3101  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 1 0 1 1 0] ), abelian= False
O_ 3102  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 0 0 1 0 1] ), abelian= False
O_ 3103  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 1 0 1 0 1] ), abelian= False
O_ 3104  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 0 0 1 1 1] ), abelian= True
O_ 3105  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 4, 5], [1, 2]] [0 1 0 1 1 1] ), abelian= False
O_ 3106  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2, 4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3107  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2, 4], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 3108  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3109  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2, 4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 3110  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2, 4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3111  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2, 4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 3112  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2, 4, 5]] [0 0 0 0 1 1] ), abelian= True
O_ 3113  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 2, 4, 5]] [0 1 0 0 1 1] ), abelian= False
O_ 3114  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3115  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4], [5]] [0 1 0 0 0 0] ), abelian= False
O_ 3116  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4], [5]] [0 0 0 1 0 0] ), abelian= False
O_ 3117  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4], [5]] [0 1 0 1 0 0] ), abelian= False
O_ 3118  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4], [5]] [0 0 0 1 1 0] ), abelian= True
O_ 3119  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4], [5]] [0 1 0 1 1 0] ), abelian= False
O_ 3120  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3121  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 3122  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 3123  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 1 0 1 0 0] ), abelian= False
O_ 3124  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3125  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 3126  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 3127  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 3128  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 0 0 0 0 1] ), abelian= False
O_ 3129  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 1 0 0 0 1] ), abelian= False
O_ 3130  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 0 0 1 0 1] ), abelian= False
O_ 3131  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 1 0 1 0 1] ), abelian= False
O_ 3132  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 0 0 0 1 1] ), abelian= False
O_ 3133  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 1 0 0 1 1] ), abelian= False
O_ 3134  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 0 0 1 1 1] ), abelian= True
O_ 3135  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 2, 4, 5]] [0 1 0 1 1 1] ), abelian= False
O_ 3136  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 5], [1, 2, 4]] [0 0 0 0 0 0] ), abelian= True
O_ 3137  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 5], [1, 2, 4]] [0 1 0 0 0 0] ), abelian= False
O_ 3138  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 5], [1, 2, 4]] [0 0 0 1 0 0] ), abelian= False
O_ 3139  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 5], [1, 2, 4]] [0 1 0 1 0 0] ), abelian= False
O_ 3140  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 5], [1, 2, 4]] [0 0 0 1 0 1] ), abelian= True
O_ 3141  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 5], [1, 2, 4]] [0 1 0 1 0 1] ), abelian= False
O_ 3142  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 4], [2, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3143  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 4], [2, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 3144  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 4, 2, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3145  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 4, 2, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 3146  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 4, 2, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3147  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3], [1, 4, 2, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 3148  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4], [2, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3149  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4], [2, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 3150  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4], [2, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 3151  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4], [2, 5]] [0 1 0 1 0 0] ), abelian= False
O_ 3152  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4], [2, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 3153  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4], [2, 5]] [0 1 0 1 1 0] ), abelian= True
O_ 3154  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3155  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 1 0 0 0 0] ), abelian= False
O_ 3156  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 0 0 1 0 0] ), abelian= False
O_ 3157  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 1 0 1 0 0] ), abelian= False
O_ 3158  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3159  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 1 0 0 1 0] ), abelian= False
O_ 3160  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 0 0 1 1 0] ), abelian= False
O_ 3161  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 1 0 1 1 0] ), abelian= False
O_ 3162  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 0 0 1 0 1] ), abelian= False
O_ 3163  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 1 0 1 0 1] ), abelian= False
O_ 3164  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 0 0 1 1 1] ), abelian= True
O_ 3165  = ( [[0], [1, 2], [3, 4, 5]] [[0, 3, 1, 4, 2, 5]] [0 1 0 1 1 1] ), abelian= False
O_ 3166  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2], [3], [4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3167  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2], [3], [4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3168  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2], [3], [4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3169  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2], [3, 4], [5]] [0 0 0 0 0 0] ), abelian= True
O_ 3170  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2], [3, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3171  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2], [3, 4, 5]] [0 0 0 0 1 0] ), abelian= False
O_ 3172  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2, 3], [4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3173  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2, 3], [4, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 3174  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2, 3], [4, 5]] [0 0 1 0 1 0] ), abelian= False
O_ 3175  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2, 3, 4, 5]] [0 0 0 0 0 0] ), abelian= True
O_ 3176  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2, 3, 4, 5]] [0 0 1 0 0 0] ), abelian= False
O_ 3177  = ( [[0, 1], [2, 3], [4, 5]] [[0], [1], [2, 3, 4, 5]] [0 0 1 0 1 0] ), abelian= False
